,id,name,rating_kp,rating_imdb,votes_kp,votes_imdb,year,genre,director,director_id,countries
47,41363,Казус Белли,6.165,7.1,457,28,2002,"мелодрама, комедия",Игорь Угольников,224630,"Россия, Польша"
48,838285,Любовь напрокат,6.475,6.8,4472,18,2014,"мелодрама, комедия",Вазген Каграманян,3688380,Россия
49,1311132,Подсолнух,5.969,0.0,1204,0,2019,драма,Федор Петрухин,277294,Россия
50,423989,Похороните меня за плинтусом,7.128,7.0,65155,1452,2008,драма,Сергей Снежкин,276880,Россия
51,762361,Труба,6.861,7.0,603,132,2013,документальный,Виталий Манский,251139,"Россия, Чехия, Германия"
52,468206,В ожидании моря,6.187,6.5,533,107,2012,драма,Бахтиер Худойназаров,224363,"Россия, Германия, Франция, Бельгия, Казахстан, Украина"
53,254775,2-АССА-2,5.059,4.6,3352,163,2009,драма,Сергей Соловьев,171583,Россия
54,271685,Ночные сестры,6.215,6.3,3780,159,2007,"мелодрама, комедия",Алексей Мурадов,231384,Россия
55,777027,Не моё собачье дело,5.205,0.0,1801,0,2018,комедия,Александр Чернов,3299156,Россия
56,581566,Дзига и его братья,7.453,0.0,188,0,2002,документальный,Евгений Цымбал,317704,Россия
57,818697,Весёлые ребята;),3.906,3.9,3139,53,2014,комедия,Алексей Бобров,1995742,Россия
58,453284,Пять бутылок водки,6.103,6.0,9750,591,2002,"драма, комедия",Светлана Баскова,1420784,Россия
59,741060,Черт,2.66,0.0,196,0,2012,"приключения, ужасы",Дмитрий Лещенко,3109799,Россия
60,1039202,Родное сердце,5.972,0.0,1572,0,2017,мелодрама,"Владимир Кильбург, Каиржан Орынбеков","231572, 3394069",Россия
61,974199,Источник,4.74,0.0,2631,0,2016,драма,Надежда Витальская,4376970,Россия
62,41374,Хлебный день,7.323,7.2,552,204,1998,документальный,Сергей Дворцевой,256818,Россия
63,421338,Время земляники,4.746,0.0,156,0,2008,драма,Виталий Галилюк,1634141,Россия
64,589638,Безразличие,4.924,5.8,987,77,2010,"драма, мелодрама, комедия",Олег Флянгольц,1754907,Россия
65,838460,Мой белый и пушистый,5.91,0.0,825,0,2013,мелодрама,Максим Демченко,1783332,Россия
66,102876,Пакостник,2.798,5.7,114,30,2004,комедия,Татьяна Деткина,245384,Россия
67,451186,Я — Гурджиев. Я — не умру.,7.707,0.0,139,0,2007,документальный,Мартирос Фаносян,1044665,Россия
68,450281,Игра на вылет,5.346,6.0,284,20,2001,"мелодрама, криминал",Константин Одегов,1758928,Россия
